"play ID","game ID","game name",userid,date,quantity,location,length,incomplete,nowinstats,comments,"player 1 username","player 1 name","player 1 startposition","player 1 color","player 1 score","player 1 new","player 1 rating","player 1 win","player 2 username","player 2 name","player 2 startposition","player 2 color","player 2 score","player 2 new","player 2 rating","player 2 win","player 3 username","player 3 name","player 3 startposition","player 3 color","player 3 score","player 3 new","player 3 rating","player 3 win","player 4 username","player 4 name","player 4 startposition","player 4 color","player 4 score","player 4 new","player 4 rating","player 4 win","player 5 username","player 5 name","player 5 startposition","player 5 color","player 5 score","player 5 new","player 5 rating","player 5 win","player 6 username","player 6 name","player 6 startposition","player 6 color","player 6 score","player 6 new","player 6 rating","player 6 win","player 7 username","player 7 name","player 7 startposition","player 7 color","player 7 score","player 7 new","player 7 rating","player 7 win","player 8 username","player 8 name","player 8 startposition","player 8 color","player 8 score","player 8 new","player 8 rating","player 8 win"
12755034,121921,"Robinson Crusoe: Adventures on the Cursed Island",,2014-09-27,,"U Mokrišů",120,,,"Castaways scenario. Won easily in the tenth round. No big challenge.",Tatsukochi,hejtmy,2,,,,,1,,Sam,3,,,,,1,,Echy,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12797048,2511,"Sherlock Holmes Consulting Detective",,2014-10-03,,"Petřiny",120,,,"Very bad first case. We lost horribly. Got minus five points, pointed at wrong culprit. Didn't get but one question right. Let's do better next time",Tatsukochi,hejtmy,2,,-5,,,,,Echy,3,,,,,,,"Bětka",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12797836,133038,"Pathfinder Adventure Card Game: Rise of the Runelords – Base Set",,2014-10-04,,"Petřiny",120,,,"Finished bade set game. Easy!",,"Bětka",2,,,,,,,Martin,4,,,1,,,,Echy,3,,,,,,Tatsukochi,hejtmy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12797839,129622,"Love Letter",,2014-10-03,,"Petřiny",20,,,,,"Bětka",2,,,,,,,Martin,3,,,,,,Tatsukochi,hejtmy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12797845,70323,"King of Tokyo",,2014-10-03,,"Petřiny",15,,,,,"Bětka",2,,,,,,,Martin,3,,,,,,Tatsukochi,hejtmy,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12797854,70323,"King of Tokyo",,2014-10-03,,"Petřiny",25,,,,,"Bětka",2,,,,,,,Martin,3,,,,,,Tatsukochi,hejtmy,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12802117,134453,"The Little Prince: Make Me a Planet",,2014-10-04,,Deskohraní,25,,,,,"Bětka",2,,,,,,,Echy,3,,,1,,,Tatsukochi,hejtmy,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12802382,134453,"The Little Prince: Make Me a Planet",,2014-10-04,,Deskohraní,,,,,,"Bětka",2,,39,,,,,Martin,4,,43,,,,,Echy,3,,41,,,,Tatsukochi,hejtmy,1,,45,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12802403,38054,"Snow Tails",,2014-10-04,,Deskohraní,,,,,,"Bětka",2,,,,,,,Martin,4,,,,,,,Echy,3,,,1,,1,Tatsukochi,hejtmy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12802983,156009,"Port Royal",,2014-10-04,,Deskohraní,15,,,,,"Bětka",2,,,,,,,Echy,3,,,,,,Tatsukochi,hejtmy,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12802987,156009,"Port Royal",,2014-10-04,,Deskohraní,20,,,,,"Bětka",2,,,,,1,,Echy,3,,,,,,Tatsukochi,hejtmy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12828430,124742,"Android: Netrunner",,2014-10-07,,"Petřiny",40,1,,"HB vs Noise. Bětka zapomněla zamíchat neutrální karty do balíčku, takže ve hře nebylo dost agend :-)",Tatsukochi,hejtmy,,,,,,,,"Bětka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12828458,12333,"Twilight Struggle",,2014-10-07,,Deskohraní,180,1,,"Odehrány čtyři tahy. Já za SSSR, Bětka za USA. Vedl jsem s deseti body, ale neměli jsme sílu hru dokončit.",,"Bětka",2,,,,,,Tatsukochi,hejtmy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12859610,156009,"Port Royal",,2014-10-12,,Deskohraní,20,,,,,"Bětka",2,,,,,,,Echy,3,,,,,,Tatsukochi,hejtmy,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12859625,73761,K2,,2014-10-12,,Deskohraní,120,,,,,"Bětka",2,,16,1,,,,Echy,3,,17,1,,1,Tatsukochi,hejtmy,1,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12859654,1234,"Once Upon a Time: The Storytelling Card Game",,2014-10-12,,Deskohraní,30,,,"Příběh o střevících, které nutily královnu tančit a tančit až umřela. A králi který je nazul a tančil až do smrti",,Echy,2,,,,,,,"Bětka",3,,,,,,Tatsukochi,hejtmy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12859705,1234,"Once Upon a Time: The Storytelling Card Game",,2014-10-12,,Deskohraní,30,,,"Příběh o učení se pravidel, žabě, čarodějnici, obrovi a pirátech, co čarodějnici unesli.",,Echy,2,,,,,,,"Bětka",3,,,,,,Tatsukochi,hejtmy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12859757,1234,"Once Upon a Time: The Storytelling Card Game",,2014-10-12,,Deskohraní,,,,"Příběh o pastýřce a jeskyni, ve  které číhá temná hrozba. Jejím milém Toníkovi, který pracoval v zámořském přesunu komodit. Smrti milované, rozcupované na kusy. Toník se vrátil do Zanzibaru, sebral dostupné zemědělské nástroje a byl zatčen za vraždu své milé. Na konci opuštěn.",,Echy,2,,,,,,,"Bětka",3,,,,,,Tatsukochi,hejtmy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
